"word","absolute.frequency","relative.frequency"
"licht",50,0.00125219133483596
"kommen",49,0.00122714750813924
"art",49,0.00122714750813924
"lacht",48,0.00120210368144252
"rede",48,0.00120210368144252
"feind",48,0.00120210368144252
"sagen",48,0.00120210368144252
"sonn",47,0.00117705985474581
"wehe",47,0.00117705985474581
"davon",47,0.00117705985474581
"heiss",47,0.00117705985474581
"himmel",47,0.00117705985474581
"wege",45,0.00112697220135237
"sinn",45,0.00112697220135237
"that",45,0.00112697220135237
"wohlan",45,0.00112697220135237
"spricht",45,0.00112697220135237
"besten",45,0.00112697220135237
"with",45,0.00112697220135237
"schwere",44,0.00110192837465565
"liebt",44,0.00110192837465565
"lieber",44,0.00110192837465565
"wissen",44,0.00110192837465565
"lehrt",44,0.00110192837465565
"mann",43,0.00107688454795893
"ohren",43,0.00107688454795893
"besser",43,0.00107688454795893
"andr",43,0.00107688454795893
"tag",42,0.00105184072126221
"this",42,0.00105184072126221
"kind",41,0.00102679689456549
"schatten",41,0.00102679689456549
"mitleiden",41,0.00102679689456549
"höhe",41,0.00102679689456549
"hörte",41,0.00102679689456549
"ewigkeit",41,0.00102679689456549
"neuen",40,0.00100175306786877
"einsamkeit",40,0.00100175306786877
"mund",40,0.00100175306786877
"blickt",40,0.00100175306786877
"gern",40,0.00100175306786877
"gerad",40,0.00100175306786877
"gedanken",40,0.00100175306786877
"lieben",40,0.00100175306786877
"ewig",40,0.00100175306786877
"berg",39,0.000976709241172051
"stimm",39,0.000976709241172051
"oft",39,0.000976709241172051
"heissen",39,0.000976709241172051
"schwer",39,0.000976709241172051
"recht",39,0.000976709241172051
"heilig",38,0.000951665414475332
"ekel",38,0.000951665414475332
"fragt",38,0.000951665414475332
"lehr",38,0.000951665414475332
"letzten",38,0.000951665414475332
"sucht",38,0.000951665414475332
"teufel",37,0.000926621587778613
"blick",37,0.000926621587778613
"ani",37,0.000926621587778613
"wahrsag",36,0.000901577761081893
"seht",36,0.000901577761081893
"tugenden",36,0.000901577761081893
"sterben",36,0.000901577761081893
"selig",36,0.000901577761081893
"wäre",35,0.000876533934385174
"abend",35,0.000876533934385174
"warum",35,0.000876533934385174
"hinaus",35,0.000876533934385174
"schrie",35,0.000876533934385174
"kopf",35,0.000876533934385174
"male",35,0.000876533934385174
"werth",35,0.000876533934385174
"best",35,0.000876533934385174
"lernen",34,0.000851490107688455
"geschah",34,0.000851490107688455
"eben",34,0.000851490107688455
"schaffen",34,0.000851490107688455
"luft",34,0.000851490107688455
"schlecht",34,0.000851490107688455
"sollen",34,0.000851490107688455
